cpus=16
 search_disk_ind-5779  [015]  4621.224298: funcgraph_entry:        9.972 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.225813: funcgraph_entry:      + 10.229 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.227310: funcgraph_entry:        9.725 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.228783: funcgraph_entry:        9.765 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.230285: funcgraph_entry:        9.952 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.231765: funcgraph_entry:        9.703 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.233413: funcgraph_entry:        9.681 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.234743: funcgraph_entry:        9.670 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.236196: funcgraph_entry:        9.506 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.237696: funcgraph_entry:        9.543 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.239208: funcgraph_entry:        9.812 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.240795: funcgraph_entry:      + 10.310 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.242094: funcgraph_entry:        9.522 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.243672: funcgraph_entry:      + 10.056 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.245082: funcgraph_entry:        9.701 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.246663: funcgraph_entry:        9.473 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.248110: funcgraph_entry:        9.983 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.249622: funcgraph_entry:      + 12.214 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.251124: funcgraph_entry:        9.632 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.252624: funcgraph_entry:      + 21.893 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.254148: funcgraph_entry:        9.852 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.255615: funcgraph_entry:      + 22.306 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.257128: funcgraph_entry:        9.764 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.258620: funcgraph_entry:      + 10.025 us  |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.260137: funcgraph_entry:        9.883 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.261619: funcgraph_entry:        9.819 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.263105: funcgraph_entry:        9.661 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.264572: funcgraph_entry:        9.877 us   |  blk_mq_complete_request();
 search_disk_ind-5779  [015]  4621.266099: funcgraph_entry:        9.571 us   |  blk_mq_complete_request();
